output_plan,lifepro_coverage_id,target_field,current_output_value,crosswalk_authoritative_value,lifepro_source_value,current_logic_authority,recommended_authority,alignment_status,conflict_flag,governance_action
A96DAR,896 DAR,FORM,896,896 DAR,896,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
A96DAR,896 DAR,DESCR,DEPOSIT ANNUITY RIDER,Deposit Annuity Rider,Deposit Annuity Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
A96DAR,896 DAR,PLANNAME,DEPOSIT ANNUITY RIDER,Deposit Annuity Rider - 665 STME95,Deposit Annuity Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1666AI,897 666,PLAN,1666AI,,897 666,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1666AI,897 666,FORM,666,897 666,666,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1666AI,897 666,DESCR,ADDITIONAL INSUREDS 666 WL,Additional Insureds 666 WL,Additional Insureds 666 WL,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1666AI,897 666,PLANNAME,ADDITIONAL INSUREDS 666 WL,Additional Insureds 666 WL,Additional Insureds 666 WL,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
165PUA,960 65 PUA,PLAN,165PUA,,960 65 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
165PUA,960 65 PUA,FORM,960,960 65 PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
165PUA,960 65 PUA,DESCR,PAID UP ADDS - LIFE PAID UP AT AGE 65,Paid Up Adds - Life Paid Up at Age 65,Paid Up Adds - Life Paid Up at Age 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
165PUA,960 65 PUA,PLANNAME,PAID UP ADDS - LIFE PAID UP AT AGE 65,PUAs for 960 LP65,Paid Up Adds - Life Paid Up at Age 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
185PUA,960 LP PUA,PLAN,185PUA,,960 LP PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
185PUA,960 LP PUA,FORM,960,960 LP PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
185PUA,960 LP PUA,DESCR,PAID UP ADDS - LIFE PU AT AGE 85-88,Paid Up Adds - Life PU at Age 85-88,Paid Up Adds - Life PU at Age 85-88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
185PUA,960 LP PUA,PLANNAME,PAID UP ADDS - LIFE PU AT AGE 85-88,PUA - 960 LP85-M,Paid Up Adds - Life PU at Age 85-88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
196065,960 LP65,PLAN,196065,,960 LP65,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
196065,960 LP65,FORM,960,960 LP65,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
196065,960 LP65,DESCR,LIFE PAID UP AT AGE 65,Life Paid Up at Age 65,Life Paid Up at Age 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
196065,960 LP65,PLANNAME,LIFE PAID UP AT AGE 65,Life Paid Up at Age 65,Life Paid Up at Age 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
196085,960 LP85-M,PLAN,196085,,960 LP85-M,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
196085,960 LP85-M,FORM,960,960 LP85-M,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
196085,960 LP85-M,DESCR,LIFE PAID UP AT AGE 85-88,Life Paid Up at Age 85-88,Life Paid Up at Age 85-88,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
196085,960 LP85-M,PLANNAME,LIFE PAID UP AT AGE 85-88,Life Policy - Paid Up M Age 85 F Age 88,Life Paid Up at Age 85-88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1960OL,960 OL,PLAN,1960OL,,960 OL,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1960OL,960 OL,FORM,960,960 OL,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1960OL,960 OL,DESCR,ORDINARY WHOLE LIFE,Ordinary Whole Life,Ordinary Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1960OL,960 OL,PLANNAME,ORDINARY WHOLE LIFE,Ordinary Whole Life,Ordinary Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
1OLPUA,960 OL PUA,PLAN,1OLPUA,,960 OL PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1OLPUA,960 OL PUA,FORM,960,960 OL PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1OLPUA,960 OL PUA,DESCR,PAID UP ADDS - ORDINARY WHOLE LIFE,Paid Up Adds - Ordinary Whole Life,Paid Up Adds - Ordinary Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1OLPUA,960 OL PUA,PLANNAME,PAID UP ADDS - ORDINARY WHOLE LIFE,PUAs for 960 OL,Paid Up Adds - Ordinary Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1960PO,960 PO,PLAN,1960PO,,960 PO,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1960PO,960 PO,FORM,960,960 PO,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1960PO,960 PO,DESCR,PREFERRED ORDINARY WHOLE LIFE,Preferred Ordinary Whole Life,Preferred Ordinary Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1960PO,960 PO,PLANNAME,PREFERRED ORDINARY WHOLE LIFE,Preferred Ordinary Whole Life,Preferred Ordinary Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
1POPUA,960 PO PUA,PLAN,1POPUA,,960 PO PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1POPUA,960 PO PUA,FORM,960,960 PO PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1POPUA,960 PO PUA,DESCR,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,Paid Up Adds - Pref Ordinary Whole Life,Paid Up Adds - Pref Ordinary Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1POPUA,960 PO PUA,PLANNAME,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PUAs for 960 PO,Paid Up Adds - Pref Ordinary Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
961 ME65,961 ME65,PLAN,961 ME65,2961ME,961 ME65,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
961 ME65,961 ME65,FORM,961,961 ME65,961,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
961 ME65,961 ME65,DESCR,MODIFIED ENDOWMENT AT 65,Modified Endowment at 65,Modified Endowment at 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
961 ME65,961 ME65,PLANNAME,MODIFIED ENDOWMENT AT 65,Modified Endowment at 65,Modified Endowment at 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
961 PUA,961 PUA,PLAN,961 PUA,261PUA,961 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
961 PUA,961 PUA,FORM,961,961 PUA,961,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
961 PUA,961 PUA,DESCR,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,Paid Up Adds - Modified Endowment at 65,Paid Up Adds - Modified Endowment at 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
961 PUA,961 PUA,PLANNAME,PAID UP ADDS - MODIFIED ENDOWMENT AT 65,Paid Up Adds - Modified Endowment at 65,Paid Up Adds - Modified Endowment at 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
970 JEB,970 JEB,PLAN,970 JEB,1970JB,970 JEB,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
970 JEB,970 JEB,FORM,970,970 JEB,970,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
970 JEB,970 JEB,DESCR,JUVENILE EST BUILD PU AT 85 LIFE,Juvenile Est Build PU at 85 Life,Juvenile Est Build PU at 85 Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
970 JEB,970 JEB,PLANNAME,JUVENILE EST BUILD PU AT 85 LIFE,Juvenile Est Build PU at 85 Life,Juvenile Est Build PU at 85 Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
970 PUA,970 PUA,PLAN,970 PUA,1970PA,970 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
970 PUA,970 PUA,FORM,970,970 PUA,970,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
970 PUA,970 PUA,DESCR,PAID UP ADDS - JUV EST BUILD PU AT 85,Paid Up Adds - Juv Est Build PU at 85,Paid Up Adds - Juv Est Build PU at 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
970 PUA,970 PUA,PLANNAME,PAID UP ADDS - JUV EST BUILD PU AT 85,Paid Up Adds - Juv Est Build PU at 85,Paid Up Adds - Juv Est Build PU at 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
280END,980 END65,PLAN,280END,,980 END65,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
280END,980 END65,FORM,980,980 END65,980,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
280END,980 END65,DESCR,ENDOWMENT AT AGE 65,Endowment at Age 65,Endowment at Age 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
280END,980 END65,PLANNAME,ENDOWMENT AT AGE 65,Endowment at Age 65,Endowment at Age 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
280PUA,980 PUA,PLAN,280PUA,,980 PUA,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
280PUA,980 PUA,FORM,960,980 PUA,960,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
280PUA,980 PUA,DESCR,PAID UP ADDS - ENDOWMENT AT AGE 65,Paid Up Adds - Endowment at Age 65,Paid Up Adds - Endowment at Age 65,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
280PUA,980 PUA,PLANNAME,PAID UP ADDS - ENDOWMENT AT AGE 65,PUAs for 980 END65,Paid Up Adds - Endowment at Age 65,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1991PL,991 PWL,PLAN,1991PL,,991 PWL,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
1991PL,991 PWL,FORM,991,991 PWL,991,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1991PL,991 PWL,DESCR,PENSION WHOLE LIFE,Pension Whole Life,Pension Whole Life,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1991PL,991 PWL,PLANNAME,PENSION WHOLE LIFE,All Pension Whole Life in RPU status,Pension Whole Life,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,PLAN,9DIS25,,DISCHO2475,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,FORM,,DISCHO25,,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,DESCR,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 25%-10Yr,Home Office Discount - 24.75%,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,PLANNAME,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 25%-10Yr,Home Office Discount - 24.75%,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
DISCHO247B,DISCHO247B,PLAN,DISCHO247B,9DS24B,DISCHO247B,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
DISCHO247B,DISCHO247B,FORM,,DISCHO247B,,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
DISCHO247B,DISCHO247B,DESCR,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 24.75%,Home Office Discount - 24.75%,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
DISCHO247B,DISCHO247B,PLANNAME,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 24.75%,Home Office Discount - 24.75%,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9DIS25,DISCHO2475,PLAN,9DIS25,,DISCHO2475,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,FORM,,DISCHO25,,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,DESCR,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 25%-10Yr,Home Office Discount - 24.75%,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9DIS25,DISCHO2475,PLANNAME,HOME OFFICE DISCOUNT - 24.75%,Home Office Discount - 25%-10Yr,Home Office Discount - 24.75%,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
DISCHO29,DISCHO29,PLAN,DISCHO29,9DIS29,DISCHO29,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
DISCHO29,DISCHO29,FORM,,DISCHO29,,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
DISCHO29,DISCHO29,DESCR,HOME OFFICE DISCOUNT 29% - MODERULE 37,Home Office Discount 29% - ModeRule 37,Home Office Discount 29% - ModeRule 37,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
DISCHO29,DISCHO29,PLANNAME,HOME OFFICE DISCOUNT 29% - MODERULE 37,Home Office Discount 29% - ModeRule 37,Home Office Discount 29% - ModeRule 37,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9DIS70,DISCHO70,PLAN,9DIS70,,DISCHO70,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS70,DISCHO70,FORM,,DISCHO70,,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9DIS70,DISCHO70,DESCR,HOME OFFICE DISCOUNT - 70/13%,Home Office Discount - 70/13%,Home Office Discount - 70/13%,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9DIS70,DISCHO70,PLANNAME,HOME OFFICE DISCOUNT - 70/13%,Discount 70/13% -  L01 10Y LT,Home Office Discount - 70/13%,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
5L0110,L01 10Y LT,PLAN,5L0110,,L01 10Y LT,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
5L0110,L01 10Y LT,FORM,L10,L01 10Y LT,L10,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
5L0110,L01 10Y LT,DESCR,TEN YEAR LEVEL TERM TO AGE 95,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
5L0110,L01 10Y LT,PLANNAME,TEN YEAR LEVEL TERM TO AGE 95,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
L01 10Y MA,L01 10Y MA,PLAN,L01 10Y MA,5L01MA,L01 10Y MA,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
L01 10Y MA,L01 10Y MA,FORM,L10,L01 10Y MA,L10,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
L01 10Y MA,L01 10Y MA,DESCR,TEN YEAR LEVEL TERM TO AGE 95,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
L01 10Y MA,L01 10Y MA,PLANNAME,TEN YEAR LEVEL TERM TO AGE 95,Ten Year Level Term to Age 95,Ten Year Level Term to Age 95,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
5L0510,L05 10Y LT,PLAN,5L0510,,L05 10Y LT,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
5L0510,L05 10Y LT,FORM,L05,L05 10Y LT,L05,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
5L0510,L05 10Y LT,DESCR,TEN YEAR TERM TO AGE 85,Ten Year Term to Age 85,Ten Year Term to Age 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
5L0510,L05 10Y LT,PLANNAME,TEN YEAR TERM TO AGE 85,Ten Year Term to Age 85,Ten Year Term to Age 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
5L075Y,L07 5Y LT,PLAN,5L075Y,,L07 5Y LT,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
5L075Y,L07 5Y LT,FORM,L07,L07 5Y LT,L07,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
5L075Y,L07 5Y LT,DESCR,FIVE YEAR TERM TO AGE 85,Five Year Term to Age 85,Five Year Term to Age 85,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
5L075Y,L07 5Y LT,PLANNAME,FIVE YEAR TERM TO AGE 85,Five Year Term to Age 85,Five Year Term to Age 85,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9ADB10,L10 ADB,PLAN,9ADB10,,L10 ADB,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9ADB10,L10 ADB,FORM,8140,L10 ADB,8140,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9ADB10,L10 ADB,DESCR,L10 ACCIDENTAL DEATH BENEFIT,L10 Accidental Death Benefit,L10 Accidental Death Benefit,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9ADB10,L10 ADB,PLANNAME,L10 ACCIDENTAL DEATH BENEFIT,"Acc DB - L10 LP95, L10 OLD, L10 SR OLD",L10 Accidental Death Benefit,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
